0,1,2
0.01,1.01,2.01
0.02,1.02,2.02
0.03,1.03,2.03
0.04,1.04,2.04
0.05,1.05,2.05
0.06,1.06,2.06
0.07,1.07,2.07
0.08,1.08,2.08
0.09,1.09,2.09
0.1,1.1,2.1
0.11,1.11,2.11
0.12,1.12,2.12
0.13,1.13,2.13
0.14,1.14,2.14
0.15,1.15,2.15
0.16,1.16,2.16
0.17,1.17,2.17
0.18,1.18,2.18
0.19,1.19,2.19
0.2,1.2,2.2
0.21,1.21,2.21
0.22,1.22,2.22
0.23,1.23,2.23
0.24,1.24,2.24
0.25,1.25,2.25
0.26,1.26,2.26
0.27,1.27,2.27
0.28,1.28,2.28
0.29,1.29,2.29
0.3,1.3,2.3
0.31,1.31,2.31
0.32,1.32,2.32
0.33,1.33,2.33
0.34,1.34,2.34
0.35,1.35,2.35
0.36,1.36,2.36
0.37,1.37,2.37
0.38,1.38,2.38
0.39,1.39,2.39
0.4,1.4,2.4
0.41,1.41,2.41
0.42,1.42,2.42
0.43,1.43,2.43
0.44,1.44,2.44
0.45,1.45,2.45
0.46,1.46,2.46
0.47,1.47,2.47
0.48,1.48,2.48
0.49,1.49,2.49
0.5,1.5,2.5
0.51,1.51,2.51
0.52,1.52,2.52
0.53,1.53,2.53
0.54,1.54,2.54
0.55,1.55,2.55
0.56,1.56,2.56
0.57,1.57,2.57
0.58,1.58,2.58
0.59,1.59,2.59
0.6,1.6,2.6
0.61,1.61,2.61
0.62,1.62,2.62
0.63,1.63,2.63
0.64,1.64,2.64
0.65,1.65,2.65
0.66,1.66,2.66
0.67,1.67,2.67
0.68,1.68,2.68
0.69,1.69,2.69
0.7,1.7,2.7
0.71,1.71,2.71
0.72,1.72,2.72
0.73,1.73,2.73
0.74,1.74,2.74
0.75,1.75,2.75
0.76,1.76,2.76
0.77,1.77,2.77
0.78,1.78,2.78
0.79,1.79,2.79
0.8,1.8,2.8
0.81,1.81,2.81
0.82,1.82,2.82
0.83,1.83,2.83
0.84,1.84,2.84
0.85,1.85,2.85
0.86,1.86,2.86
0.87,1.87,2.87
0.88,1.88,2.88
0.89,1.89,2.89
0.9,1.9,2.9
0.91,1.91,2.91
0.92,1.92,2.92
0.93,1.93,2.93
0.94,1.94,2.94
0.95,1.95,2.95
0.96,1.96,2.96
0.97,1.97,2.97
0.98,1.98,2.98
0.99,1.99,2.99
1,2,3
1.01,2.01,3.01
1.02,2.02,3.02
1.03,2.03,3.03
1.04,2.04,3.04
1.05,2.05,3.05
1.06,2.06,3.06
1.07,2.07,3.07
1.08,2.08,3.08
1.09,2.09,3.09
1.1,2.1,3.1
1.11,2.11,3.11
1.12,2.12,3.12
1.13,2.13,3.13
1.14,2.14,3.14
1.15,2.15,3.15
1.16,2.16,3.16
1.17,2.17,3.17
1.18,2.18,3.18
1.19,2.19,3.19
1.2,2.2,3.2
1.21,2.21,3.21
1.22,2.22,3.22
1.23,2.23,3.23
1.24,2.24,3.24
1.25,2.25,3.25
1.26,2.26,3.26
1.27,2.27,3.27
1.28,2.28,3.28
1.29,2.29,3.29
1.3,2.3,3.3
1.31,2.31,3.31
1.32,2.32,3.32
1.33,2.33,3.33
1.34,2.34,3.34
1.35,2.35,3.35
1.36,2.36,3.36
1.37,2.37,3.37
1.38,2.38,3.38
1.39,2.39,3.39
1.4,2.4,3.4
1.41,2.41,3.41
1.42,2.42,3.42
1.43,2.43,3.43
1.44,2.44,3.44
1.45,2.45,3.45
1.46,2.46,3.46
1.47,2.47,3.47
1.48,2.48,3.48
1.49,2.49,3.49
1.5,2.5,3.5
1.51,2.51,3.51
1.52,2.52,3.52
1.53,2.53,3.53
1.54,2.54,3.54
1.55,2.55,3.55
1.56,2.56,3.56
1.57,2.57,3.57
1.58,2.58,3.58
1.59,2.59,3.59
1.6,2.6,3.6
1.61,2.61,3.61
1.62,2.62,3.62
1.63,2.63,3.63
1.64,2.64,3.64
1.65,2.65,3.65
1.66,2.66,3.66
1.67,2.67,3.67
1.68,2.68,3.68
1.69,2.69,3.69
1.7,2.7,3.7
1.71,2.71,3.71
1.72,2.72,3.72
1.73,2.73,3.73
1.74,2.74,3.74
1.75,2.75,3.75
1.76,2.76,3.76
1.77,2.77,3.77
1.78,2.78,3.78
1.79,2.79,3.79
1.8,2.8,3.8
1.81,2.81,3.81
1.82,2.82,3.82
1.83,2.83,3.83
1.84,2.84,3.84
1.85,2.85,3.85
1.86,2.86,3.86
1.87,2.87,3.87
1.88,2.88,3.88
1.89,2.89,3.89
1.9,2.9,3.9
1.91,2.91,3.91
1.92,2.92,3.92
1.93,2.93,3.93
1.94,2.94,3.94
1.95,2.95,3.95
1.96,2.96,3.96
1.97,2.97,3.97
1.98,2.98,3.98
1.99,2.99,3.99
2,3,4
2.01,3.01,4.01
2.02,3.02,4.02
2.03,3.03,4.03
2.04,3.04,4.04
2.05,3.05,4.05
2.06,3.06,4.06
2.07,3.07,4.07
2.08,3.08,4.08
2.09,3.09,4.09
2.1,3.1,4.1
2.11,3.11,4.11
2.12,3.12,4.12
2.13,3.13,4.13
2.14,3.14,4.14
2.15,3.15,4.15
2.16,3.16,4.16
2.17,3.17,4.17
2.18,3.18,4.18
2.19,3.19,4.19
2.2,3.2,4.2
2.21,3.21,4.21
2.22,3.22,4.22
2.23,3.23,4.23
2.24,3.24,4.24
2.25,3.25,4.25
2.26,3.26,4.26
2.27,3.27,4.27
2.28,3.28,4.28
2.29,3.29,4.29
2.3,3.3,4.3
2.31,3.31,4.31
2.32,3.32,4.32
2.33,3.33,4.33
2.34,3.34,4.34
2.35,3.35,4.35
2.36,3.36,4.36
2.37,3.37,4.37
2.38,3.38,4.38
2.39,3.39,4.39
2.4,3.4,4.4
2.41,3.41,4.41
2.42,3.42,4.42
